Random,Cheater,Cooperator,Copycat,Grudger,Detective,AI,Human,Income
2,4,2,3,2,2,2,5,175.728039
1,4,1,3,2,4,4,4,170.6924349
2,3,2,4,0,4,1,2,156.3780955
3,1,1,2,3,4,2,4,178.8032123
3,1,2,1,2,0,5,2,145.6500775
4,1,1,1,3,1,2,2,146.4859718
2,3,4,2,5,2,2,1,185.2671246
1,2,3,2,3,5,4,0,158.5520519
0,5,4,0,0,3,3,2,148.4115722
2,3,3,5,1,5,1,2,190.228716
5,1,1,4,4,1,2,3,187.2678983
3,1,2,2,1,1,2,2,149.5242838
2,1,3,1,0,4,5,2,189.5800296
3,2,2,1,3,4,1,2,172.3761614
2,4,4,1,1,0,1,4,187.4127326
3,0,3,1,5,1,3,1,157.7467752
2,2,1,5,5,3,2,3,171.6942723
4,0,2,1,0,4,4,0,173.2390664
2,1,4,2,0,3,3,2,186.7494829
2,5,3,4,1,2,2,2,162.2675114
0,1,3,3,2,0,3,5,169.4142799
1,2,3,5,3,1,4,3,188.482971
4,2,1,3,3,3,2,3,170.7690587
1,2,4,4,1,2,1,1,176.4543326
1,2,1,3,3,3,2,4,164.3393968
1,4,1,3,2,2,4,5,173.4793446
2,3,4,4,4,3,2,0,184.73036
2,4,1,4,0,3,5,3,184.032004
4,5,2,2,5,2,1,3,178.1555735
2,1,2,3,2,4,4,1,173.3417177
1,2,3,3,0,5,1,1,155.4502709
1,4,2,1,2,4,3,5,188.5619848
1,1,3,4,1,4,3,1,173.7105907
4,4,0,2,4,4,4,1,151.6910326
3,4,1,1,4,5,4,5,184.5432971
2,1,2,4,3,2,4,1,163.592443
0,4,3,5,1,5,4,0,192.2306501
0,0,4,2,2,3,3,3,191.416214
4,0,2,4,4,1,1,2,149.3800296
1,2,1,1,3,4,3,4,170.3419111
2,3,1,4,1,4,3,3,158.9337591
1,4,2,2,4,0,2,4,147.8393968
1,2,4,4,5,0,1,1,160.3779021
0,0,4,2,1,0,5,0,148.6008109
3,2,3,0,5,5,1,0,181.3407506
3,2,4,0,1,2,1,1,190.526508
3,0,2,1,4,5,2,3,176.8027288
4,2,1,4,4,1,4,3,188.4439338
1,3,4,2,0,2,2,1,151.4887763
2,3,0,3,2,3,1,4,154.3767416
3,4,2,2,4,2,3,2,175.8977681
4,2,1,1,0,5,3,2,154.0428925
5,4,0,0,1,3,3,5,176.9289238
1,2,3,4,4,4,1,3,192.2312303
4,4,1,2,5,4,5,2,180.8454343
2,2,4,1,3,4,3,0,165.0084488
4,5,1,1,2,3,4,4,189.153591
0,1,2,2,3,2,2,3,154.9889697
4,3,2,4,0,2,1,1,177.4164075
